Gene	"epidermal_layer"	staining_intensity	staining_frequency_intense_cells	distribution	detected_in_RAID	RNA_seq	HPA_data	Subcellular_location	
Col17A1	1	1	0.5	patches	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000065618-COL17A1/tissue/skin
Col17A1	2	0	0	patches	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000065618-COL17A1/tissue/skin
Col17A1	3	0	0	patches	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000065618-COL17A1/tissue/skin
Col17A1	4	0	0	patches	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000065618-COL17A1/tissue/skin
Col17A1	5	0	0	patches	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000065618-COL17A1/tissue/skin
Col17A1	6	0	0	patches	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000065618-COL17A1/tissue/skin
Col17A1	7	0	0	patches	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000065618-COL17A1/tissue/skin
Col17A1	8	0	0	patches	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000065618-COL17A1/tissue/skin
LAMB3	1	1	0.5	patches	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000196878-LAMB3/tissue/skin
LAMB3	2	0	0	patches	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000196878-LAMB3/tissue/skin
LAMB3	3	0	0	patches	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000196878-LAMB3/tissue/skin
LAMB3	4	0	0	patches	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000196878-LAMB3/tissue/skin
LAMB3	5	0	0	patches	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000196878-LAMB3/tissue/skin
LAMB3	6	0	0	patches	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000196878-LAMB3/tissue/skin
LAMB3	7	0	0	patches	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000196878-LAMB3/tissue/skin
LAMB3	8	0	0	patches	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000196878-LAMB3/tissue/skin
LAMC2	1	1	0.5	patches	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000058085-LAMC2/tissue/skin
LAMC2	2	0	0	patches	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000058085-LAMC2/tissue/skin
LAMC2	3	0	0	patches	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000058085-LAMC2/tissue/skin
LAMC2	4	0	0	patches	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000058085-LAMC2/tissue/skin
LAMC2	5	0	0	patches	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000058085-LAMC2/tissue/skin
LAMC2	6	0	0	patches	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000058085-LAMC2/tissue/skin
LAMC2	7	0	0	patches	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000058085-LAMC2/tissue/skin
LAMC2	8	0	0	patches	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000058085-LAMC2/tissue/skin
MKI67	1	1	0.25	random_linked	1	down	1	nucleus	https://www.proteinatlas.org/ENSG00000148773-MKI67/tissue/skin
MKI67	2	1	0.05	random_linked	1	down	1	nucleus	https://www.proteinatlas.org/ENSG00000148773-MKI67/tissue/skin
MKI67	3	0	0	random_linked	1	down	1	nucleus	https://www.proteinatlas.org/ENSG00000148773-MKI67/tissue/skin
MKI67	4	0	0	random_linked	1	down	1	nucleus	https://www.proteinatlas.org/ENSG00000148773-MKI67/tissue/skin
MKI67	5	0	0	random_linked	1	down	1	nucleus	https://www.proteinatlas.org/ENSG00000148773-MKI67/tissue/skin
MKI67	6	0	0	random_linked	1	down	1	nucleus	https://www.proteinatlas.org/ENSG00000148773-MKI67/tissue/skin
MKI67	7	0	0	random_linked	1	down	1	nucleus	https://www.proteinatlas.org/ENSG00000148773-MKI67/tissue/skin
MKI67	8	0	0	random_linked	1	down	1	nucleus	https://www.proteinatlas.org/ENSG00000148773-MKI67/tissue/skin
KRT15	1	1	0.5	patches	1	transient up	1	cytoplasm	https://www.proteinatlas.org/ENSG00000171346-KRT15/tissue/skin
KRT15	2	0	0	patches	1	transient up	1	cytoplasm	https://www.proteinatlas.org/ENSG00000171346-KRT15/tissue/skin
KRT15	3	0	0	patches	1	transient up	1	cytoplasm	https://www.proteinatlas.org/ENSG00000171346-KRT15/tissue/skin
KRT15	4	0	0	patches	1	transient up	1	cytoplasm	https://www.proteinatlas.org/ENSG00000171346-KRT15/tissue/skin
KRT15	5	0	0	patches	1	transient up	1	cytoplasm	https://www.proteinatlas.org/ENSG00000171346-KRT15/tissue/skin
KRT15	6	0	0	patches	1	transient up	1	cytoplasm	https://www.proteinatlas.org/ENSG00000171346-KRT15/tissue/skin
KRT15	7	0	0	patches	1	transient up	1	cytoplasm	https://www.proteinatlas.org/ENSG00000171346-KRT15/tissue/skin
KRT15	8	0	0	patches	1	transient up	1	cytoplasm	https://www.proteinatlas.org/ENSG00000171346-KRT15/tissue/skin
GJB2	1	1	1	uniform	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000165474-GJB2/tissue/skin
GJB2	2	0	0	uniform	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000165474-GJB2/tissue/skin
GJB2	3	0	0	uniform	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000165474-GJB2/tissue/skin
GJB2	4	0	0	uniform	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000165474-GJB2/tissue/skin
GJB2	5	0	0	uniform	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000165474-GJB2/tissue/skin
GJB2	6	0	0	uniform	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000165474-GJB2/tissue/skin
GJB2	7	0	0	uniform	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000165474-GJB2/tissue/skin
GJB2	8	0	0	uniform	1	down	1	cytoplasm	https://www.proteinatlas.org/ENSG00000165474-GJB2/tissue/skin
S100A2	1	1	1	uniform	1	down	1	nucleus	https://www.proteinatlas.org/ENSG00000196754-S100A2/tissue/skin
S100A2	2	0.5	0.25	uniform	1	down	1	nucleus	https://www.proteinatlas.org/ENSG00000196754-S100A2/tissue/skin
S100A2	3	0	0	uniform	1	down	1	nucleus	https://www.proteinatlas.org/ENSG00000196754-S100A2/tissue/skin
S100A2	4	0	0	uniform	1	down	1	nucleus	https://www.proteinatlas.org/ENSG00000196754-S100A2/tissue/skin
S100A2	5	0	0	uniform	1	down	1	nucleus	https://www.proteinatlas.org/ENSG00000196754-S100A2/tissue/skin
S100A2	6	0	0	uniform	1	down	1	nucleus	https://www.proteinatlas.org/ENSG00000196754-S100A2/tissue/skin
S100A2	7	0	0	uniform	1	down	1	nucleus	https://www.proteinatlas.org/ENSG00000196754-S100A2/tissue/skin
S100A2	8	0	0	uniform	1	down	1	nucleus	https://www.proteinatlas.org/ENSG00000196754-S100A2/tissue/skin
CDC20	1	1	0.2	random_linked	1	down	1	nucleus	https://www.proteinatlas.org/ENSG00000117399-CDC20/tissue/skin
CDC20	2	1	0.2	random_linked	1	down	1	nucleus	https://www.proteinatlas.org/ENSG00000117399-CDC20/tissue/skin
CDC20	3	0	0	random_linked	1	down	1	nucleus	https://www.proteinatlas.org/ENSG00000117399-CDC20/tissue/skin
CDC20	4	0	0	random_linked	1	down	1	nucleus	https://www.proteinatlas.org/ENSG00000117399-CDC20/tissue/skin
